Country | Population | Area | Density

Australia | 25499884 | 7682300 | 3.3193033336370616;

Botswana | 2351627 | 566730 | 4.149466236126551;

Canada | 37742154 | 9093510 | 4.15044949639908;

Central African Republic | 4829767 | 622980 | 7.752683874281678;

Bolivia | 11673021 | 1083300 | 10.775427859318748;

Turkmenistan | 6031200 | 469930 | 12.834251909858915;

Chad | 16425864 | 1259200 | 13.044682337992375;

Norway | 5421241 | 365268 | 14.841817514811042;

Congo (Congo-Brazzaville) | 5518087 | 341500 | 16.158380673499266;

Saudi Arabia | 34813871 | 2149690 | 16.194833208509134;

Oman | 5106626 | 309500 | 16.499599353796444;

Argentina | 45195774 | 2736690 | 16.514758339453866;

Mali | 20250833 | 1220190 | 16.596458748227736;

Belize | 397628 | 22810 | 17.43217886891714;

Paraguay | 7132538 | 397300 | 17.95252454064938;

Finland | 5540720 | 303890 | 18.232649972029353;

New Zealand | 4822233 | 263310 | 18.313899965819758;

South Sudan | 11193725 | 610952 | 18.321774869384175;

Algeria | 43851044 | 2381740 | 18.41134800607959;

Niger | 24206644 | 1266700 | 19.110005526170365;

Papua New Guinea | 8947024 | 452860 | 19.756710683213356;

Uruguay | 3473730 | 175020 | 19.847617415152556;

Bhutan | 771608 | 38117 | 20.24314610278878;

Solomon Islands | 686884 | 27990 | 24.54033583422651;

Sweden | 10099265 | 410340 | 24.61194375396013;

Zambia | 18383955 | 743390 | 24.729892788442136;

Sudan | 43849260 | 1765048 | 24.843097751449253;

Vanuatu | 307145 | 12190 | 25.196472518457753;

Somalia | 15893222 | 627340 | 25.33430356744349;

Brazil | 212559417 | 8358140 | 25.431425771762616;

Chile | 19116201 | 743532 | 25.70999096205678;

Peru | 32971854 | 1280000 | 25.7592609375;

Angola | 32866272 | 1246700 | 26.36261490334483;

Latvia | 1886198 | 62200 | 30.324726688102896;

Estonia | 1326535 | 42390 | 31.293583392309507;

Laos | 7275560 | 230800 | 31.52322357019064;

Venezuela | 28435940 | 882050 | 32.23846720707443;

Kyrgyzstan | 6524195 | 191800 | 34.01561522419187;

Eritrea | 3546421 | 101000 | 35.11307920792079;

United States of America | 331002651 | 9147420 | 36.18535619879704;

Zimbabwe | 14862924 | 386850 | 38.42037999224505;

Bahamas | 393244 | 10010 | 39.285114885114886;

Palau | 18094 | 460 | 39.334782608695654;

Democratic Republic of the Congo | 89561403 | 2267050 | 39.50570256500739;

Mozambique | 31255435 | 786380 | 39.74596887001195;

Djibouti | 988000 | 23180 | 42.622950819672134;

Lithuania | 2722289 | 62674 | 43.435699013945175;

Colombia | 50882891 | 1109500 | 45.861100495718794;

Belarus | 9449323 | 202910 | 46.569035532994924;

Montenegro | 628066 | 13450 | 46.69635687732342;

Madagascar | 27691018 | 581795 | 47.59583358399436;

South Africa | 59308690 | 1213090 | 48.89059344319053;

Fiji | 896445 | 18270 | 49.066502463054185;

Equatorial Guinea | 1402985 | 28050 | 50.01729055258467;

Iran | 83992949 | 1628550 | 51.575296429338984;

Liberia | 5057681 | 96320 | 52.50914659468439;

Guinea | 13132795 | 245720 | 53.44617857724239;

Nicaragua | 6624554 | 120340 | 55.048645504404185;

Cameroon | 26545863 | 472710 | 56.156762073998856;

Yemen | 29825964 | 527970 | 56.49177794192852;

Georgia | 3989167 | 69490 | 57.406346236868615;

Panama | 4314767 | 74340 | 58.04098735539414;

Afghanistan | 38928346 | 652860 | 59.62740250589713;

Bulgaria | 6948445 | 108560 | 64.0055729550479;

Bosnia and Herzegovina | 3280819 | 51000 | 64.3297843137255;

Mexico | 128932753 | 1943950 | 66.32513850664883;

Tanzania | 59734218 | 885800 | 67.4353330322872;

Eswatini (fmr. "Swaziland") | 1160164 | 17200 | 67.45139534883721;

Tajikistan | 9537645 | 139960 | 68.1455058588168;

Guinea-Bissau | 1968001 | 28120 | 69.9858108108108;

Samoa | 198414 | 2830 | 70.11095406360424;

Lesotho | 2142249 | 30360 | 70.56156126482213;

Ecuador | 17643054 | 248360 | 71.03822676759543;

Ireland | 4937786 | 68890 | 71.6763826389897;

Croatia | 4105267 | 55960 | 73.36073981415296;

Ukraine | 43733762 | 579320 | 75.49154525995995;

Tunisia | 11818619 | 155360 | 76.07247039134913;

Burkina Faso | 20903273 | 273600 | 76.40085160818714;

Uzbekistan | 33469203 | 425400 | 78.67701692524683;

Greece | 10423054 | 128900 | 80.86155159038015;

Côte d'Ivoire | 26378274 | 322463 | 81.80248276546456;

